,,,,,,,,,,,,,,,
Crewlabor Bedarf,,,,,,,,,,,,,,,
,Restaurant,Monat,,,,,,,,,,,,,
,156,Dezember,,,,Datum,Tag,Brutto Umsatz,Netto Umsatz,Geplante / gewünschte Produktivität,Produktive Std.,SF Produktive Std.,HM Std. ,NZ Euro,Extra Std. Unproduktiv
,,,,,,,,,,,,,,,
,Stundenlohn Ø,"€ 12,01",,Koeffizient Brutto/Netto,,1.,Montag,€ 16.220,"€ 14.508,05",99,131,16,8,€ 85,5
,Urlaub Std. geplant,850,,"1,118",,2.,Dienstag,€ 16.220,"€ 14.508,05",90,145,16,8,€ 85,4
,Krank Std. (Monat),173,,,,3.,Mittwoch,€ 16.840,"€ 15.062,61",90,151,16,8,€ 85,
,Produktive Std.,5690,,,,4.,Donnerstag,€ 17.800,"€ 15.921,29",90,161,16,8,€ 85,
,SF P Std.,496,,,,5.,Freitag,€ 22.600,"€ 20.214,67",100,186,16,16,€ 85,
,HM Std.,368,,,,6.,Samstag,€ 24.500,"€ 21.914,13",100,203,16,16,€ 85,
,NZ (Euro),"€ 2.635,00",,,,7.,Sonntag,€ 20.000,"€ 17.889,09",100,163,16,16,€ 85,
,,,,,,8.,Montag,€ 21.000,"€ 18.783,54",100,172,16,16,€ 85,
,Extra Std. (Unproduktiv),29,,,,9.,Dienstag,€ 16.800,"€ 15.026,83",90,151,16,8,€ 85,5
,Förderung,1.000,,,,10.,Mittwoch,€ 16.800,"€ 15.026,83",90,151,16,8,€ 85,
,Budget Umsatz,€ 590.000,,,,11.,Donnerstag,€ 17.900,"€ 16.010,73",90,162,16,8,€ 85,5
,Budget CL (Euro),"€ 90.000,00",,,,12.,Freitag,€ 23.500,"€ 21.019,68",100,194,16,16,€ 85,
,Budget CL(%),"15,25%",,,,13.,Samstag,€ 23.500,"€ 21.019,68",100,194,16,16,€ 85,
,Umsatz Gesamt,€ 589.070,,,,14.,Sonntag,€ 20.000,"€ 17.889,09",100,163,16,16,€ 85,
,Gesamt Std.,7110,,,,15.,Montag,€ 16.200,"€ 14.490,16",90,145,16,8,€ 85,
,CL (Euro),"€ 87.024,33",,,,16.,Dienstag,€ 16.200,"€ 14.490,16",90,145,16,8,€ 85,10
,CL (%),"14,77%",,,,17.,Mittwoch,€ 18.400,"€ 16.457,96",90,167,16,8,€ 85,
,Produktivität (Ist-Bericht),"€ 103,00",,,,18.,Donnerstag,€ 22.500,"€ 20.125,22",90,208,16,8,€ 85,
,Produktivität (Real),"€ 95,23",,,,19.,Freitag,€ 33.500,"€ 29.964,22",100,284,16,16,€ 85,
,,,,,,20.,Samstag,€ 33.500,"€ 29.964,22",100,284,16,16,€ 85,
,,,,,,21.,Sonntag,€ 27.000,"€ 24.150,27",100,226,16,16,€ 85,
,,,,,,22.,Montag,€ 27.000,"€ 24.150,27",90,252,16,8,€ 85,
,,,,,,23.,Dienstag,€ 27.000,"€ 24.150,27",90,252,16,8,€ 85,
,,,,,,24.,Mittwoch,€ 9.000,"€ 8.050,09",90,73,16,8,€ 85,
,,,,,,25.,Donnerstag,€ 20.000,"€ 17.889,09",90,183,16,8,€ 85,
,,,,,,26.,Freitag,€ 26.850,"€ 24.016,10",90,251,16,16,€ 85,
,,,,,,27.,Samstag,€ 26.250,"€ 23.479,43",100,219,16,16,€ 85,
,,,,,,28.,Sonntag,€ 21.000,"€ 18.783,54",100,172,16,16,€ 85,
,,,,,,29.,Montag,€ 25.500,"€ 22.808,59",100,212,16,16,€ 85,
,,,,,,30.,Dienstag,€ 25.000,"€ 22.361,36",100,208,16,16,€ 85,
,,,,,,31.,Mittwoch,€ 10.000,"€ 8.944,54",90,83,16,8,€ 85,
,,,,,,,,,,,,,,,
,,,,,,Summe,,,"€ 589.069,77",,5690,496,368,"€ 2.635,00",29